,Exam,Organisation,Qualification,Salary,Minage,Maxage,Allowance,ExamMode,Fee,Level,Ptest,Website,Fields,Attempts,Pattempts,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
58,Part time insurance advisor(Sales&marketing),LIC,Degree,Rs 7000 - 25000,18,25,NIL,NIL,NIL,NIL,NIL,www.ncs.gov.in,NIL,NIL,NIL,,,,,,,
59,Marketing executive,NBT,Degree,Rs 25000 - 35000,25,40,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,,,,,,,
60,Assistant director,NBT,Degree,Rs56100-177500,18,35,NIL,NIL,Rs 500,Test / interview,NIL,www.nbtindia.gov.in,NIL,NIL,NIL,,,,,,,
61,Assistant director (production),NBT,Degree,Rs56100-177501,18,35,NIL,NIL,Rs 500,Test / interview,NIL,www.nbtindia.gov.in,NIL,NIL,NIL,,,,,,,
62,Assistant editor,NBT,Degree,Rs56100-177502,18,35,NIL,NIL,Rs 500,Test / interview,NIL,www.nbtindia.gov.in,NIL,NIL,NIL,,,,,,,
63,Production Assistant,NBT,Degree,Rs 35400 - 112400,18,30,NIL,NIL,Rs 500,Test / interview,NIL,www.nbtindia.gov.in,NIL,NIL,NIL,,,,,,,
64,Editorial Assistant,NBT,Degree,Rs 35400 - 112401,18,30,NIL,NIL,Rs 500,Test / interview,NIL,www.nbtindia.gov.in,NIL,NIL,NIL,,,,,,,
65,Accountant,NBT,Degree,Rs 35400 - 112402,18,30,NIL,NIL,Rs 500,Test / interview,NIL,www.nbtindia.gov.in,NIL,NIL,NIL,,,,,,,
66,Senior Stenographer,NBT,Degree,Rs 35400 - 112403,18,30,NIL,NIL,Rs 500,Test / interview,NIL,www.nbtindia.gov.in,NIL,NIL,NIL,,,,,,,
67,Assistant,NBT,Degree,Rs 35400 - 112404,18,30,NIL,NIL,Rs 500,Test / interview,NIL,www.nbtindia.gov.in,NIL,NIL,NIL,,,,,,,
68,Librarian,NBT,Degree,Rs 35400 - 112405,18,30,NIL,NIL,Rs 500,Test / interview,NIL,www.nbtindia.gov.in,NIL,NIL,NIL,,,,,,,
69,Junior Translator(Hindi),NBT,Degree,Rs 35400 - 112406,18,30,NIL,NIL,Rs 500,Test / interview,NIL,www.nbtindia.gov.in,NIL,NIL,NIL,,,,,,,
70,Library assistant,NBT,Degree,Rs 29200 - 92300,18,30,NIL,NIL,Rs 500,Test / interview,NIL,www.nbtindia.gov.in,NIL,NIL,NIL,,,,,,,
